晴,晴+晴天+太阳+大太阳+晴朗
多云,多云+阴转多云
晴间多云,多云+太阳+多云转晴+晴转多云+晴间多云
大部多云,多云+太阳+大部多云
阴,阴+阴天+阴冷天+阴雨天气
阵雨,雨+阵雨+阴雨天+阴雨天气+梅雨天
雷阵雨,雨+雷电+闪电+雷雨+雷阵雨+梅雨天+打雷+雷
雷阵雨伴有冰雹,雨+冰雹+雷电+闪电+雷阵雨+雷阵雨伴有冰雹+打雷+雷
小雨,雨+小雨+阴雨+阴雨天+阴雨天气+小到中雨+梅雨天
中雨,雨+中雨+阴雨+阴雨天+阴雨天气+小到中雨+梅雨天
大雨,雨+大雨+阴雨+阴雨天+小雨转大雨+晴转大雨+阴雨天气+梅雨天
暴雨,雨+阴雨+阴雨天+阴雨天气+暴雨+暴风雨+梅雨天
大暴雨,雨+阴雨+阴雨天+阴雨天气+暴雨+大暴雨+暴风雨+梅雨天
特大暴雨,雨+阴雨+阴雨天+阴雨天气+特大暴雨
冻雨,雨+阴雨+阴雨天+阴雨天气+冻雨
雨夹雪,雨+雪+雨夹雪
阵雪,雪+阵雪
小雪,雪+小雪
中雪,雪+中雪
大雪,雪+大雪+晴转大雪
暴雪,雪+暴雪+暴风雪
浮尘,浮尘
扬沙,扬沙
沙尘暴,沙尘暴
强沙尘暴,沙尘暴+强沙尘暴
雾,雾
霾,雾霾+雾
风,风+微风
大风,风+狂风+强风+大风
飓风,风+狂风+强风+大风+飓风+暴风雨+暴风雪+飓风
热带风暴,风+狂风+强风+大风+台风+暴风雪+暴风雨+热带风暴
龙卷风,风+狂风+强风+大风+龙卷风
冷,大冷天+阴冷天
热,闷热天+大热天
